City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,sohagpur,22.7,78.2,24.76,17,0,2.47,IN,1706008816
187,darwin,-12.4611,130.8418,26.99,89,75,1.03,AU,1706008170
188,sabha,27.0377,14.4283,15.99,40,5,5.77,LY,1706008817
189,neelankarai,12.9455,80.2575,29.03,65,40,3.6,IN,1706008818
190,saipan,15.1355,145.701,24.39,78,0,4.63,MP,1706008819
191,puerto baquerizo moreno,-0.9,-89.6,24.96,91,93,3.16,EC,1706008820
192,adzope,6.1069,-3.8619,34.33,44,42,0.77,CI,1706008821
193,fortaleza,-3.7227,-38.5247,30.04,83,40,4.12,BR,1706008800
194,aykhal,66.0,111.5,-13.44,86,96,13.27,RU,1706008823
195,hadibu,12.65,54.0333,25.27,62,23,6.02,YE,1706008824
196,carupano,10.6678,-63.2585,23.73,91,20,4.72,VE,1706008825
197,emerald,-23.5333,148.1667,31.3,50,61,10.95,AU,1706008791
198,grantsville,40.5999,-112.4644,5.76,94,100,2.57,US,1706008828
199,nadym,65.5333,72.5167,-21.41,91,8,4.62,RU,1706008662
200,bilibino,68.0546,166.4372,-37.21,100,100,0.71,RU,1706008829
201,fuglafjordur,62.244,-6.814,4.26,76,93,9.52,FO,1706008830
202,rawson,-43.3002,-65.1023,28.97,31,11,11.22,AR,1706008831
203,cidreira,-30.1811,-50.2056,21.91,66,89,7.27,BR,1706008832
204,port elizabeth,-33.918,25.5701,23.94,55,75,7.2,ZA,1706008670
205,sisimiut,66.9395,-53.6735,-12.47,93,100,4.54,GL,1706008835
206,okhotsk,59.3833,143.3,-35.02,85,8,3.01,RU,1706008837
207,ujae,8.9322,165.7642,27.16,80,43,9.58,MH,1706008837
208,kendari,-3.945,122.4989,26.35,86,92,1.08,ID,1706008838
209,avarua,-21.2078,-159.775,24.03,78,75,2.06,CK,1706008839
210,markovo,57.3206,107.0881,-19.31,99,42,1.45,RU,1706008840
211,porto murtinho,-21.6989,-57.8825,22.58,88,99,2.05,BR,1706008841
212,rabo de peixe,37.8,-25.5833,17.77,99,20,6.69,PT,1706008842
213,namtsy,62.7161,129.6658,-32.51,96,98,2.51,RU,1706008843
214,qaqortoq,60.7167,-46.0333,-10.26,82,88,4.46,GL,1706008843
215,ghardaia,32.4909,3.6735,12.64,44,0,0.0,DZ,1706008844
216,gaspe,48.8334,-64.4819,-2.05,58,75,8.23,CA,1706008845
217,afaahiti,-17.75,-149.2833,24.93,76,94,0.7,PF,1706008846
218,ust'-ordynskiy,52.805,104.7508,-21.41,94,12,1.58,RU,1706008846
219,hamilton,39.1834,-84.5333,3.93,78,100,3.09,US,1706008641
220,brownwood,31.7093,-98.9912,9.0,98,100,2.51,US,1706008602
221,al mawsil al jadidah,36.3346,43.0978,17.76,48,3,5.92,IQ,1706008849
222,flying fish cove,-10.4217,105.6791,27.82,78,15,2.57,CX,1706008850
223,port mathurin,-19.6833,63.4167,28.23,87,71,10.44,MU,1706008851
224,bodo,67.28,14.405,4.02,89,40,9.26,NO,1706008852
225,staraya russa,57.9944,31.3608,-0.01,96,100,5.79,RU,1706008683
226,brodnica,53.2597,19.3965,5.89,84,98,7.71,PL,1706008853
227,port moresby,-9.4431,147.1797,24.07,92,100,4.78,PG,1706008854
228,hasaki,35.7333,140.8333,9.22,81,94,7.3,JP,1706008855
229,avsallar,36.616,31.7806,15.75,50,22,2.05,TR,1706008856
230,akureyri,65.6835,-18.0878,-1.04,69,20,5.14,IS,1706008857
231,hovd,48.0056,91.6419,-21.55,96,6,0.22,MN,1706008858
232,borogontsy,62.6683,131.1683,-33.94,97,72,1.96,RU,1706008859
233,labrador city,52.9463,-66.9114,-27.05,58,40,9.26,CA,1706008744
234,magdagachi,53.45,125.8,-21.61,94,14,1.69,RU,1706008860
235,al ghayzah,16.2079,52.176,26.71,29,26,4.41,YE,1706008861
236,kimberley,-28.7323,24.7623,31.83,35,20,2.06,ZA,1706008668
237,broken hill,-31.95,141.4333,33.42,15,0,4.69,AU,1706008863
238,kruisfontein,-34.0033,24.7314,22.71,46,74,8.28,ZA,1706008864
239,badagry,6.4167,2.8833,31.75,53,74,2.85,NG,1706008866
240,nizhneudinsk,54.9076,99.0276,-17.66,96,16,1.34,RU,1706008867
241,shahrud,36.4182,54.9763,9.33,41,69,0.96,IR,1706008868
242,monrovia,6.3005,-10.7969,29.62,70,13,0.57,LR,1706008605
243,santa terezinha,-29.9002,-50.0904,21.83,68,64,7.24,BR,1706008870
244,irtyshsk,53.3333,75.4572,-16.87,86,98,2.44,KZ,1706008871
245,kailua-kona,19.6406,-155.9956,24.98,76,100,0.45,US,1706008872
246,north shore,-36.8,174.75,20.78,71,100,4.02,NZ,1706008872
247,fallon,39.4735,-118.7774,4.93,95,100,0.0,US,1706008873
248,kone,-21.0595,164.8658,24.77,94,100,1.15,NC,1706008875
249,krasnyy chikoy,50.3643,108.7512,-20.19,97,6,0.7,RU,1706008876
250,kavaratti,10.5669,72.642,27.78,71,70,5.3,IN,1706008877
